,filepath,centroid,x_min,y_min,x_max,y_max,detection_confidence
529,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3320.5, 1800.0]",2919,1499,3722,2101,0.75912553
530,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3320.0, 1800.0]",2919,1500,3721,2100,0.760224
531,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3319.5, 1799.5]",2920,1499,3719,2100,0.7617587
532,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3319.0, 1800.0]",2919,1500,3719,2100,0.76132405
533,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3319.5, 1800.5]",2920,1501,3719,2100,0.7611421
534,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3321.0, 1799.0]",2920,1498,3722,2100,0.7594732
535,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3322.0, 1799.5]",2920,1498,3724,2101,0.7590156
536,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3322.0, 1799.5]",2920,1498,3724,2101,0.7587503
537,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3322.0, 1799.5]",2920,1498,3724,2101,0.7593859
538,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3320.5, 1799.5]",2919,1500,3722,2099,0.7593183
539,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3321.0, 1799.5]",2920,1500,3722,2099,0.7613707
540,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3321.5, 1798.5]",2920,1498,3723,2099,0.7615405
541,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3321.5, 1799.0]",2920,1498,3723,2100,0.7617488
542,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3321.0, 1799.5]",2920,1499,3722,2100,0.7613317
543,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3321.0, 1799.5]",2920,1498,3722,2101,0.7621238
544,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3321.0, 1800.0]",2920,1499,3722,2101,0.7620171
545,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3320.5, 1799.5]",2920,1498,3721,2101,0.7620234
546,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3320.0, 1799.5]",2920,1497,3720,2102,0.7622482
547,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3320.0, 1799.5]",2920,1498,3720,2101,0.76117855
548,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3319.5, 1799.5]",2919,1498,3720,2101,0.761973
549,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3319.5, 1799.5]",2919,1498,3720,2101,0.76076907
550,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3319.0, 1799.5]",2919,1498,3719,2101,0.7611827
551,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3319.5, 1799.0]",2918,1498,3721,2100,0.7604942
552,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3319.5, 1799.0]",2918,1498,3721,2100,0.76153046
553,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3320.0, 1798.5]",2919,1498,3721,2099,0.7607454
554,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3320.5, 1799.0]",2920,1499,3721,2099,0.76212376
555,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3320.5, 1798.5]",2921,1498,3720,2099,0.76193714
556,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3319.5, 1798.0]",2921,1497,3718,2099,0.7628275
557,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3320.5, 1798.5]",2921,1498,3720,2099,0.7610515
558,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3319.5, 1798.0]",2920,1497,3719,2099,0.76200694
559,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3320.5, 1799.0]",2920,1499,3721,2099,0.7604113
560,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3320.5, 1799.5]",2920,1500,3721,2099,0.7605954
561,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3320.0, 1799.5]",2920,1500,3720,2099,0.7615967
562,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3319.5, 1798.5]",2920,1498,3719,2099,0.7618714
563,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3319.5, 1798.0]",2919,1497,3720,2099,0.76211774
564,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3320.0, 1798.0]",2919,1497,3721,2099,0.7617441
565,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3320.5, 1799.0]",2920,1499,3721,2099,0.760242
566,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3320.0, 1798.0]",2920,1497,3720,2099,0.7611928
567,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3320.0, 1799.0]",2920,1499,3720,2099,0.76014507
568,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3320.0, 1798.5]",2920,1498,3720,2099,0.76164776
569,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3319.5, 1798.5]",2920,1498,3719,2099,0.7625342
570,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3319.5, 1799.0]",2920,1499,3719,2099,0.76217276
571,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3319.5, 1799.5]",2920,1499,3719,2100,0.76135314
572,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3321.0, 1799.5]",2920,1499,3722,2100,0.7610529
573,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3320.0, 1799.5]",2920,1499,3720,2100,0.76013285
574,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3319.5, 1799.5]",2920,1499,3719,2100,0.76007086
575,/Volumes/SmithL0/2026/BIOL470/Final/0415/bee_0415_exp_03/final_bee_0415_exp_03_cit_cam1_2026-04-15_23-09-49.mp4,"[3319.5, 1799.5]",2920,1499,3719,2100,0.7604404
