,filepath,x_min,y_min,x_max,y_max,detection_confidence
11,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2760,2084,3343,2728,0.7324764
12,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2862,2095,3274,2609,0.8067603
13,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2772,2107,3332,2592,0.7813289
14,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2747,2084,3347,2598,0.8143457
15,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2864,2113,3338,2570,0.7344624
16,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2710,2071,3341,2621,0.6866629
17,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2823,2104,3318,2576,0.8367909
18,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2742,1852,3822,2600,0.51703864
19,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2829,2094,3271,2576,0.84445965
20,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2749,2063,3340,2597,0.8135197
21,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2756,1856,3813,2600,0.5494311
22,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2683,2036,3341,2717,0.6051785
23,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2770,1830,3349,2567,0.5327113
24,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2839,2087,3233,2572,0.7908235
25,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2830,2079,3265,2563,0.8233777
26,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2737,1822,3332,2572,0.7275234
27,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2837,2086,3255,2573,0.78787977
28,/Volumes/SmithL0/2026/BIOL470/Final_Reorg/behavior/bee_0408_4/bee_0408_4_opto_2026-04-08_18-16-08_fwd_arena_opto.mp4,2726,1812,3341,2580,0.57204103
